ID_NOTICE_CAN,ISO_COUNTRY_CODE,WIN_COUNTRY_CODE,AWARD_VALUE_EURO
2019344668,RO,RO---RO---RO,8227.09
2019492901,HU,HU,3781.13
2019217760,DE,,
2019376913,PL,PL,9586.75
2019145322,MK,,
2019249405,IT,IT,7198.8
201997737,SI,SI---SI,3666.76
2019269556,FR,,
2019554046,RO,RO,10378.1
2019120629,FR,,
2019551611,ES,,
201996488,RO,,
2019131316,PL,PL,6600.47
2019571171,PL,PL,1300.73
201998663,FR,FR,24000
2019241888,FR,FR,10000
2019186169,PL,PL---PL,1523.4
2019207431,BG,BG,1533.9
2019222114,SI,,
2019578262,RO,RO,4.38
2019457138,PL,PL,20425.91
2019196912,CZ,CZ,13723.19
201955092,SI,,
2019527203,SI,SI,1732.39
2019374691,PL,,
2019364166,UK,UK,1890136.6
2019350143,HU,HU---HU,459954.5
201928333,SI,,
2019566223,PL,PL,12240.48
2019387400,FR,FR,460800
2019504293,CZ,CZ,1351.78
201979351,UK,UK,124210.86
2019105323,RO,RO,20.44
2019609066,CZ,CZ,619276.67
2019461798,FR,FR,11985
2019201060,UK,UK,25166.05
2019257184,SE,SE,5666203.93
2019318687,LT,,
2019356856,LT,LT,10122.5
2019564079,DE,DE,33754.54
2019249494,RO,,
2019605667,FR,,
2019241380,FR,,
201962152,DE,DE,64823.16
201925968,IT,,
2019274726,HR,HR,979354.95
2019433417,ES,ES,253920.71
2019252169,DE,,
2019415309,ES,ES,66100
2019584710,LU,LU,999600
2019206968,CZ,CZ,64109.08
2019240564,DE,,
201956735,SE,,
2019534667,RO,,
201952615,BG,BG,7173.54
2019608810,RO,RO,39.98
2019515696,LT,LT,102
2019331956,DE,DE,0.01
2019281980,LU,,
2019286800,LT,,
2019286639,PT,PT,2066874
2019522559,PL,,
201915342,PL,PL,45839.54
2019377781,RO,,
201918589,SI,SI---SI---SI,210.24
2019263488,EE,,
2019421014,FR,,
2019235897,DE,DE,0.01
201913990,PL,PL---PL,80626.4
2019600047,DE,DE,227814.42
2019112165,DE,DE,59734.2
2019587255,PL,PL---PL---PL,1420074.56
2019109931,SK,SK,31166.66
2019174199,MK,MK,14632.72
2019598739,CZ,CZ,882181.26
2019124373,ES,ES,7020
2019374593,BG,BG,25564.99
2019332125,RO,RO,1412.98
2019356788,BG,BG,5430
2019505633,FR,,
2019270951,FR,FR,343841
2019124423,LT,LT,20000
201928539,SE,SE,50788.07
201953409,FR,FR,32014.07
2019615415,ES,ES,1519896.36
2019344668,RO,,
2019162229,PL,,
2019609160,BG,,
201941167,UK,UK,175302.19
2019376903,PL,PL,907.48
201914014,RO,RO---RO---RO,13861.08
2019208849,IT,IT,26885806.2
2019352778,DE,DE,37320
2019499000,PL,PL,6557.38
2019435706,RO,RO,3199.64
201926266,CZ,CZ,1982.86
201974139,RO,,
2019465930,ES,,
2019372224,FR,FR,500000
2019544258,SE,SE,273866.52
2019367847,DE,DE,664486.25
2019141372,BG,,
2019271830,CZ,CZ,784795.48
2019165057,RO,RO,788.08
20193615,FR,FR,938100
2019517402,ES,ES,25200
201947358,BG,BG,116303.65
2019302531,PL,PL---PL,28540.35
2019114562,HU,HU,258751.15
2019412944,BE,,
2019110729,FR,,
2019513977,RO,RO,1890.05
201952419,CZ,CZ,2.19
2019405348,FR,FR,680000
201926988,SI,SI---SI,9196468
2019132052,UK,UK,39645.92
2019519687,ES,ES,311.7
2019199752,SI,SI,189.21
2019319783,PL,,
2019612932,RO,RO,92.87
2019202846,NO,NO,507557.53
2019297486,GR,,
2019383047,ES,ES,381343
2019146168,SI,,
2019556930,IT,IT,83520
2019140097,ES,ES,684948
2019426107,LT,,
201957572,SI,,
2019279531,LV,LV,112.93
2019374676,RO,,
201951354,ES,ES,63550
2019588663,RO,RO---RO---RO,2035.7
2019164991,CZ,CZ,27363.26
2019349986,PL,,
2019457904,FR,,
2019620306,RO,RO,226.65
2019438149,RO,RO---RO---RO,24360.95
201923488,GR,GR,13657.41
2019305338,UK,UK,216601.16
2019201246,SI,,
2019349350,RO,,
2019175819,FR,FR,120000
2019151370,SI,SI---SI,354.2
201943730,NL,NL,110
2019539684,PL,PL,809.57
2019375222,SE,SE,0.09
2019507079,PL,PL,1349.59
2019374701,RO,,
2019241867,ES,ES,188192.99
2019438370,PL,PL,465376.02
2019445310,RO,,
2019613170,RO,,
2019231761,PL,PL---PL,393182.61
2019475675,FI,FI,253
2019323836,FR,FR,400000
201991049,NL,NL,1271272
2019605834,RO,RO,41247.55
201990169,PL,PL,48264.27
2019270885,SE,SE,8947880.37
2019488294,RO,RO,53406.82
2019265191,HR,HR,16936.29
2019587108,SE,,
2019256569,DK,DK,602724.31
201914798,DE,DE,161915.49
2019396800,UK,UK,11392506.01
2019212911,RO,RO,112.58
2019612880,PT,NL,6899000
2019342064,FR,FR,200000
2019265138,DE,DE,0.01
2019342125,ES,ES,222652.8
2019172570,RO,,
2019341162,AT,,
2019317156,UK,UK,20.51
2019344664,RO,,
2019508102,CZ,,
2019201586,FR,FR,65892.5
2019555180,BE,,
2019326866,RO,,
2019424050,ES,ES,18066.22
2019532311,PL,PL,8984.36
2019329173,PT,PT,48843.9
2019291428,RO,RO,2599.2
2019527158,RO,RO,29314.06
20196793,IT,,
